Tweet Id,Tweet URL,Tweet Posted Time,Tweet Content,Tweet Type,Client,Retweets received,Likes received,User Id,Name,Username,Verified or Non-Verified,Profile URL,Protected or Not Protected
"""1139605869530759168""",https://twitter.com/katyperry/status/1139605869530759168,14-06-2019 18:49,"""The LEWKS are #NeverReallyOver 💁🏼 Vertical video now on #TodaysTopHits @spotify 🎥: @LizaVoloshin (Also, s/o @kpcollections 👡) https://t.co/nNaAhnkrX0 https://t.co/ZOAKKVSHni""",Tweet,Twitter for iPhone,2796,19825,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1139216351921414150""",https://twitter.com/katyperry/status/1139216351921414150,13-06-2019 17:01,"""#TBT to when you wrote postcards to the person/pet/thing that's #NeverReallyOver 💔 💌 Tell your story at https://t.co/nWmRmNIc1S 📝 https://t.co/jwkJDY9mNd""",Tweet,Instagram,906,6369,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1138976744587825157""",https://twitter.com/katyperry/status/1138976744587825157,13-06-2019 01:09,"""look at how f-ing hot my fiancé is orlandobloom lucky me 😍🤤♥️♠� @ Too Darn Hot https://t.co/7GUfHXqKx1""",Tweet,Instagram,923,9334,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1138935278549082112""",https://twitter.com/katyperry/status/1138935278549082112,12-06-2019 22:25,"""Catch your tear drops 💧 and heal your heart 💓in the cherry blossom fields 🌸 with @Snapchat https://t.co/C23sggVS8m https://t.co/T55mcEBz9u""",Tweet,Twitter for iPhone,3131,21215,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1138891136146165762""",https://twitter.com/katyperry/status/1138891136146165762,12-06-2019 19:29,"""hi bb’s... do you wish #NeverReallyOver had ended differently? Well, there's another option on the #NeverReallyOver canvas on @Spotify... https://t.co/XlAZJVxXQ7 #chooseyourownadventure 💁🏼‍♀ https://t.co/xUw7tWifBO""",Tweet,Twitter for iPhone,1825,9656,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1138594963669815296""",https://twitter.com/katyperry/status/1138594963669815296,11-06-2019 23:52,"""feels good 🧡 taylorswift @ Let's Be Friends https://t.co/OMUtFU1ybr""",Tweet,Instagram,14131,69271,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1138589382108110848""",https://twitter.com/katyperry/status/1138589382108110848,11-06-2019 23:30,"""📝💌📬 https://t.co/fyNT7yBaWh""",Tweet,Twitter for iPhone,2657,15323,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1138513382091284480""",https://twitter.com/katyperry/status/1138513382091284480,11-06-2019 18:28,"""🌈 On #ShoesdayTuesday and every day, take each step with PRIDE 🌈 @kpcollections https://t.co/O0aAMDyy3D https://t.co/9vEaWfqPE8""",Tweet,Twitter for iPhone,550,4750,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1138324077481869313""",https://twitter.com/katyperry/status/1138324077481869313,11-06-2019 05:56,"""the dark side of #neverreallyover 🙃 https://t.co/PREgHAffaQ""",Tweet,Twitter for iPhone,1833,13458,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1138302135165116416""",https://twitter.com/katyperry/status/1138302135165116416,11-06-2019 04:29,"""who told you that https://t.co/tIjik0k2vX""",Tweet,Twitter for iPhone,660,6595,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1138241497378115584""",https://twitter.com/katyperry/status/1138241497378115584,11-06-2019 00:28,"""Sometimes I moonlight as @cynthialovely’s stylist assistant nbd 🤷🏼‍♀💅🏻 See my werk here https://t.co/G0PbYPIZLH #holyrollervideo https://t.co/bbISmKVl3V""",Tweet,Twitter for iPhone,796,7547,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1137932947686903808""",https://twitter.com/katyperry/status/1137932947686903808,10-06-2019 04:02,"""i am a fearless, inspired, reflective, experiencing, exuding wellness, openness, role model of kindness, human being ♥️ https://t.co/xsXM17HspV""",Tweet,Instagram,1362,10635,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1137244376881483776""",https://twitter.com/katyperry/status/1137244376881483776,08-06-2019 06:26,"""gratitude is one of thee highest vibrations 🧡⚡️""",Tweet,Twitter for iPhone,7236,38115,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1137244046051618816""",https://twitter.com/katyperry/status/1137244046051618816,08-06-2019 06:24,"""We see you and we love you! ❤️ https://t.co/YSLzuYxBqt""",Tweet,Twitter for iPhone,576,5988,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1137070221699690496""",https://twitter.com/katyperry/status/1137070221699690496,07-06-2019 18:54,"""#FBF to the time I got matching tattoos with the greatest people ever, The KatyCats, @youtubemusic to premiere my #NeverReallyOver video 😩💔 https://t.co/aOEgblevKk https://t.co/eWvLFqA4ui""",Tweet,Twitter for iPhone,1883,12005,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1136669802993336323""",https://twitter.com/katyperry/status/1136669802993336323,06-06-2019 16:22,"""#TBT to that time I watered my heart garden with my heartbroken tears. Have you seen it? 💔 https://t.co/cCI4J9KqBB https://t.co/dXOZj6Utw7""",Tweet,Twitter for iPhone,2951,23341,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1136341067832291328""",https://twitter.com/katyperry/status/1136341067832291328,05-06-2019 18:36,"""!!!BOWLED over by your growth as an artist, @cynthialovely!!! 🎳♥� #HolyRollerVideo out now! https://t.co/G0PbYPIZLH""",Tweet,Twitter for iPhone,677,6194,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1136020915899310080""",https://twitter.com/katyperry/status/1136020915899310080,04-06-2019 21:24,"""I can't even go on the internet without checking @kpcollections Links (and more) in Stories 👠👡👢👟 https://t.co/jqYO4nbKwU""",Tweet,Instagram,711,5991,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1135798711311671296""",https://twitter.com/katyperry/status/1135798711311671296,04-06-2019 06:41,"""come thru king ❤️🧡💛💚💙💜 https://t.co/lpRMWwUkbL""",Tweet,Twitter for iPhone,616,6123,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1135798382075629569""",https://twitter.com/katyperry/status/1135798382075629569,04-06-2019 06:40,"""pls give them a hug from meee😩🧡 https://t.co/ze9T3u3M9I""",Tweet,Twitter for iPhone,1302,12480,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1135732143227752449""",https://twitter.com/katyperry/status/1135732143227752449,04-06-2019 02:16,"""Lose your self control and fall down the rabbit hole of #NeverReallyOver official merch now! Link in Stories 🤗 https://t.co/b8a8pL3ZNO""",Tweet,Instagram,1139,7682,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1134893312475893761""",https://twitter.com/katyperry/status/1134893312475893761,01-06-2019 18:43,"""💜💙💚💛🧡❤️ Happy Pride Month, my angels! Let us never stop lifting each other up. I see you, and I love you ❤️🧡💛💚💙💜 https://t.co/o2IY1UQBWT""",Tweet,Instagram,5294,30740,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1134615729242804225""",https://twitter.com/katyperry/status/1134615729242804225,01-06-2019 00:20,"""bus stop to freedom 🧡#neverreallyover https://t.co/k7lslmLkue""",Tweet,Instagram,1022,6994,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1134610762901491714""",https://twitter.com/katyperry/status/1134610762901491714,01-06-2019 00:01,"""🤘🏼@youtubemusic #NeverReallyOver https://t.co/cCI4J9KqBB https://t.co/P4ivnA8GP1""",Tweet,Twitter for iPhone,2478,12875,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1134563267899080705""",https://twitter.com/katyperry/status/1134563267899080705,31-05-2019 20:52,"""Guess what happens when you #AskAlexa to play the Song of the Day today? Thanks @AmazonMusic! 🙌🏼 #NeverReallyOver #SOTD https://t.co/CewqG3sN8b""",Tweet,Twitter for iPhone,2748,17550,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1134512455357304832""",https://twitter.com/katyperry/status/1134512455357304832,31-05-2019 17:30,"""Find your first stop to a whole heart 🧡 (but don’t actually get into any strange white vans ok 🙅🏼‍♀) https://t.co/65pbIRvwro""",Tweet,Twitter for iPhone,1869,11626,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
